label,parent,score,fraction,amount,name,key
root,,2.309431931392552,1.0,1.0,"Plant Operation, Electrolyser","('e-Hydrogen LCA', 'plant_operation')"
root_a,root,0.2433365697574875,0.10536641779728025,5.799705071314187e-07,Electrolyser,"('e-Hydrogen LCA', 'actelectrolyser')"
root_a_a,root_a,0.059802819121438304,0.025895034319274403,5.799705071314187e-07,Balance of Plant,"('e-Hydrogen LCA', 'actbop')"
root_a_a_a,root_a_a,0.0022188326331105306,0.0009607698771933965,5.799705071314187e-07,Power Electronics,"('e-Hydrogen LCA', 'actbop1')"
root_a_a_b,root_a_a,0.0018892208171831628,0.0008180456810623518,5.799705071314187e-07,Control Panel / Electronics,"('e-Hydrogen LCA', 'actbop2')"
root_a_a_c,root_a_a,0.0012952007242368064,0.0005608308721425793,5.799705071314187e-07,Tubing and Pump,"('e-Hydrogen LCA', 'actbop3')"
root_a_a_d,root_a_a,0.008302818540224688,0.0035951778562350683,5.799705071314187e-07,Steel Construction Element,"('e-Hydrogen LCA', 'actbop4')"
root_a_a_e,root_a_a,0.00083695299756795,0.00036240643692116967,5.799705071314187e-07,Gas Purification and Water Treatment,"('e-Hydrogen LCA', 'actbop5')"
root_a_a_f,root_a_a,0.0003452376440794767,0.0001494902878004738,5.799705071314187e-07,Water Gas Separator,"('e-Hydrogen LCA', 'actbop6')"
root_a_a_g,root_a_a,0.0008241278931007991,0.0003568530779791646,5.799705071314187e-07,Valves,"('e-Hydrogen LCA', 'actbop7')"
root_a_a_h,root_a_a,0.00010097646973747837,4.372350982286415e-05,5.799705071314187e-07,Back Pressure Regulator,"('e-Hydrogen LCA', 'actbop8')"
root_a_a_i,root_a_a,0.0003013034597545378,0.00013046648210707663,5.799705071314187e-07,Ion Exchange for Water Treatment,"('e-Hydrogen LCA', 'actbop9')"
root_a_a_j,root_a_a,0.0039961162514124265,0.0017303459769012677,5.799705071314187e-07,Heat Exchanger,"('e-Hydrogen LCA', 'actbop10')"
root_a_a_k,root_a_a,0.0013351740883531824,0.0005781396152897621,5.799705071314187e-07,Water Purifier and Feedtank,"('e-Hydrogen LCA', 'actbop11')"
